OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),UsageType,UsageType_Bin,NumPropertyUseTypes
58,2016,NonResidential,Other,98101.0,7,DOWNTOWN,47.61076,-122.33765,1920,1.0,2,57428,0,57428,"Other - Mall, Personal Services (Health/Beauty, Dry Cleaning, etc)",Other - Mall,51747.0,5681.0,,1247362.0,0.0,714939.0,532423.0,Multi_usage,1,4
59,2016,NonResidential,Small- and Mid-Sized Office,98101.0,7,DOWNTOWN,47.61048,-122.33794,1910,1.0,8,59400,0,59400,"Office, Retail Store",Office,34947.0,4993.0,,5071974.0,0.0,5071973.0,0.0,Multi_usage,1,2
60,2016,NonResidential,Mixed Use Property,98101.0,7,DOWNTOWN,47.60886,-122.33744,1926,1.0,2,52549,0,52549,"Office, Other - Entertainment/Public Assembly, Restaurant",Other - Entertainment/Public Assembly,23500.0,23500.0,5459.0,15026196.0,0.0,4632459.0,10393737.0,Multi_usage,1,3
62,2016,NonResidential,Hotel,98101.0,7,DOWNTOWN,47.61233,-122.33432,1930,1.0,20,98634,10043,88591,"Hotel, Parking, Restaurant",Hotel,83591.0,10043.0,5000.0,4841347.5,0.0,4290059.0,551288.0,Multi_usage,1,3
63,2016,NonResidential,Hotel,98101.0,7,DOWNTOWN,47.61087,-122.33339,1982,1.0,34,994212,146694,847518,"Hotel, Parking, Swimming Pool",Hotel,994212.0,117668.0,0.0,80469216.0,11598686.0,45545529.0,23324992.0,Multi_usage,1,3
65,2016,NonResidential,Hotel,98101.0,7,DOWNTOWN,47.60997,-122.34138,1985,1.0,7,71150,0,71150,"Hotel, Parking, Restaurant, Retail Store",Hotel,41340.0,13730.0,9604.0,5348309.0,0.0,3243900.0,2104408.0,Multi_usage,1,4
66,2016,NonResidential,Hotel,98101.0,7,DOWNTOWN,47.61155,-122.34114,1908,1.0,7,122810,0,122810,"Hotel, Other - Entertainment/Public Assembly, Retail Store",Hotel,88360.0,26450.0,8000.0,5401277.5,0.0,1293561.0,4107716.0,Multi_usage,1,3
67,2016,NonResidential,Hotel,98109.0,7,LAKE_UNION,47.61986,-122.34413,1959,1.0,5,113173,42546,70627,"Hotel, Parking",Hotel,70627.0,42546.0,,5284343.5,0.0,2944680.0,2339663.0,Multi_usage,1,2
68,2016,NonResidential,Hotel,98109.0,7,LAKE_UNION,47.62001,-122.34274,2000,1.0,7,150453,34735,115718,Hotel,Hotel,107547.0,3000.0,,6715187.0,0.0,3396109.0,3319078.0,Multi_usage,1,1
69,2016,NonResidential,Hotel,98109.0,7,LAKE_UNION,47.62025,-122.34314,1997,1.0,6,116300,28200,88100,Hotel,Hotel,88490.0,28300.0,,5827595.5,0.0,3188457.0,2639138.0,Multi_usage,1,1
70,2016,NonResidential,Hotel,98119.0,7,MAGNOLIA_QUEENANNE,47.62023,-122.35951,1998,1.0,6,155602,36744,118858,Hotel,Hotel,155602.0,,,6836900.0,0.0,4558937.0,2277962.0,Mono_usage,0,1
73,2016,NonResidential,K-12 School,98136.0,3,EAST,47.63442,-122.30793,1911,1.0,3,56072,0,56072,K-12 School,K-12 School,56072.0,,,3234787.75,0.0,551867.0,2682920.0,Mono_usage,0,1
77,2016,NonResidential,Hotel,98109.0,7,MAGNOLIA_QUEENANNE,47.62519,-122.34456,1999,1.0,4,122942,44891,78051,"Hotel, Parking",Hotel,78051.0,44891.0,,5337334.0,0.0,2423730.0,2913604.0,Multi_usage,1,2
82,2016,NonResidential,Small- and Mid-Sized Office,98122.0,3,CENTRAL,47.60823,-122.30956,1962,1.0,2,54984,0,54984,Office,Office,54984.0,,,3375211.0,0.0,1978230.0,1396981.0,Mono_usage,0,1
