OSEBuildingID,BuildingType,PrimaryPropertyType,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,LargestPropertyUseType,SiteEnergyUse(kBtu),UsageType,NumPropertyUseTypes,BuildingAge,HasSteam,HasElectricity,HasGas,NbSourcesEnergies,SecondUseRatio,ThirdUseRatio,AreaPerFloor
230,NonResidential,Self-Storage Facility,SOUTHWEST,1.0,2,52088,0,Self-Storage Facility,1377519.5,Mono_usage,1,47,0,1,1,2,0.0,0.0,26044.0
231,SPS-District K-12,K-12 School,LAKE_UNION,1.0,3,127776,0,K-12 School,4748137.0,Mono_usage,1,6,0,1,1,2,0.0,0.0,42592.0
232,NonResidential,Hotel,LAKE_UNION,1.0,5,123920,30000,Hotel,9373179.0,Multi_usage,3,18,0,1,1,2,0.2420916720464816,0.0,24784.0
233,Nonresidential COS,Other,LAKE_UNION,1.0,1,50000,0,Museum,7548807.0,Mono_usage,1,116,0,1,1,2,0.0,0.0,50000.0
234,Nonresidential COS,Warehouse,MAGNOLIA_QUEENANNE,1.0,2,50292,0,Non-Refrigerated Warehouse,430473.6875,Multi_usage,4,90,0,1,0,1,0.09941939075797343,0.09405074365704287,25146.0
235,NonResidential,Hotel,MAGNOLIA_QUEENANNE,1.0,7,207656,54341,Hotel,11171988.0,Mono_usage,1,18,0,1,1,2,0.0,0.0,29665.14285714286
237,SPS-District K-12,K-12 School,BALLARD,1.0,2,67235,0,K-12 School,2284133.75,Mono_usage,1,17,0,1,1,2,0.0,0.0,33617.5
238,Nonresidential COS,Small- and Mid-Sized Office,NORTHWEST,1.0,2,91130,0,Office,9472358.0,Multi_usage,5,59,0,1,1,2,0.3608142214418962,0.13003401733786898,45565.0
239,SPS-District K-12,K-12 School,SOUTHWEST,1.0,3,58118,0,K-12 School,1407277.25,Mono_usage,1,25,0,1,1,2,0.0,0.0,19372.666666666668
241,NonResidential,Hotel,NORTHWEST,1.0,4,64893,0,Hotel,6197825.0,Mono_usage,1,48,0,1,1,2,0.0,0.0,16223.25
243,SPS-District K-12,K-12 School,GREATER_DUWAMISH,1.0,1,70762,0,K-12 School,3606416.0,Mono_usage,1,91,0,1,1,2,0.0,0.0,70762.0
244,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,3,44558,0,Office,1677002.25,Multi_usage,3,116,0,1,1,2,0.17218007989586606,0.055433367745410474,14852.666666666666
245,NonResidential,Other,GREATER_DUWAMISH,1.0,6,1585960,327680,Other - Entertainment/Public Assembly,59757440.0,Multi_usage,2,17,0,1,1,2,0.0,0.0,264326.6666666667
247,Nonresidential COS,Distribution Center,GREATER_DUWAMISH,1.0,2,179161,0,Distribution Center,9436408.0,Multi_usage,4,92,0,1,1,2,0.20830984421832877,0.14257009058891165,89580.5
248,Nonresidential COS,Warehouse,GREATER_DUWAMISH,1.0,2,58640,0,Non-Refrigerated Warehouse,3928695.25,Multi_usage,4,51,0,1,0,1,0.2853854024556617,0.19667462482946793,29320.0
